pulseT,prevPT,timeStamp,ID,coordinate0,coordinate1,pulseHeight0,pulseHeight1,mult0,mult1,clusterTimeSpan,timeBetweenEvents,absCoordinate0,absCoordinate1,absCoordinate2,ToF,wavelength
1756465778591259453,1756465778519830862,1756465778618846766,0,266.49,217.68,1950,1292,6,4,185,838052,0.0,0.0,0.0,0,0.0
1756465778591259453,1756465778519830862,1756465778618993811,0,117.29,421.0,2137,211,6,1,92,147045,0.0,0.0,0.0,0,0.0
1756465778591259453,1756465778519830862,1756465778626273037,0,40.02,81.0,978,309,3,1,78,404083,0.0,0.0,0.0,0,0.0
1756465778591259453,1756465778519830862,1756465778634838010,0,527.46,162.51,566,388,2,2,35,1536369,0.0,0.0,0.0,0,0.0
1756465778591259453,1756465778519830862,1756465778636703717,0,552.21,617.04,3094,673,10,3,174,442753,0.0,0.0,0.0,0,0.0
1756465778591259453,1756465778519830862,1756465778638571960,0,124.47,29.0,364,210,2,1,194,283641,0.0,0.0,0.0,0,0.0
1756465778591259453,1756465778519830862,1756465778642681640,0,27.0,287.49,231,451,1,2,35,102672,0.0,0.0,0.0,0,0.0
1756465778591259453,1756465778519830862,1756465778644353617,0,551.18,287.17,2524,3195,5,9,43,1671977,0.0,0.0,0.0,0,0.0
1756465778591259453,1756465778519830862,1756465778644369407,0,484.38,314.5,643,605,2,2,25,15790,0.0,0.0,0.0,0,0.0
1756465778591259453,1756465778519830862,1756465778644811002,0,276.53,334.03,631,759,2,3,54,441595,0.0,0.0,0.0,0,0.0
1756465778591259453,1756465778519830862,1756465778652225130,0,393.0,125.0,218,176,1,1,114,265300,0.0,0.0,0.0,0,0.0
1756465778591259453,1756465778519830862,1756465778659180322,0,450.07,390.43,2593,1922,8,5,167,579298,0.0,0.0,0.0,0,0.0
1756465778591259453,1756465778519830862,1756465778662124411,0,8.46,94.45,1062,565,4,2,27,1629186,0.0,0.0,0.0,0,0.0
1756465778591259453,1756465778519830862,1756465778662605078,0,471.68,131.87,3283,2105,9,5,168,130882,0.0,0.0,0.0,0,0.0
1756465778662688044,1756465778591259453,1756465778665302930,0,314.26,251.85,1846,1527,7,5,132,874704,0.0,0.0,0.0,0,0.0
1756465778662688044,1756465778591259453,1756465778669818553,0,141.99,22.21,3466,3553,5,8,143,801744,0.0,0.0,0.0,0,0.0
1756465778662688044,1756465778591259453,1756465778678111793,0,173.5,353.21,2673,1369,7,4,38,1323508,0.0,0.0,0.0,0,0.0
1756465778662688044,1756465778591259453,1756465778678141404,0,183.01,388.9,2057,1081,5,3,118,29611,0.0,0.0,0.0,0,0.0
1756465778662688044,1756465778591259453,1756465778678685087,0,631.24,495.83,1517,758,4,3,113,543683,0.0,0.0,0.0,0,0.0
1756465778662688044,1756465778591259453,1756465778680487777,0,144.0,318.0,238,164,1,1,37,27266,0.0,0.0,0.0,0,0.0
1756465778662688044,1756465778591259453,1756465778684223370,0,510.0,229.02,224,642,1,3,13,568176,0.0,0.0,0.0,0,0.0
1756465778662688044,1756465778591259453,1756465778684397278,0,306.58,416.0,805,720,2,3,44,173908,0.0,0.0,0.0,0,0.0
1756465778662688044,1756465778591259453,1756465778692624522,0,218.0,469.0,302,241,1,1,70,46142,0.0,0.0,0.0,0,0.0
1756465778662688044,1756465778591259453,1756465778693998980,0,297.13,421.0,940,262,3,1,26,311807,0.0,0.0,0.0,0,0.0
1756465778662688044,1756465778591259453,1756465778698246802,0,178.93,574.53,1344,1376,3,4,53,2416855,0.0,0.0,0.0,0,0.0
1756465778662688044,1756465778591259453,1756465778700177302,0,134.5,523.06,651,755,2,3,20,1930500,0.0,0.0,0.0,0,0.0
1756465778662688044,1756465778591259453,1756465778700952208,0,632.17,322.56,922,1115,3,4,66,173241,0.0,0.0,0.0,0,0.0
1756465778662688044,1756465778591259453,1756465778701232729,0,190.16,602.87,1085,1129,3,3,45,280521,0.0,0.0,0.0,0,0.0
1756465778662688044,1756465778591259453,1756465778702216739,0,579.55,259.1,461,1109,2,3,50,984010,0.0,0.0,0.0,0,0.0
1756465778662688044,1756465778591259453,1756465778705702340,0,353.77,490.92,3559,2327,8,5,197,2196157,0.0,0.0,0.0,0,0.0
1756465778662688044,1756465778591259453,1756465778707060009,0,142.52,141.36,574,575,2,2,43,1357669,0.0,0.0,0.0,0,0.0
1756465778662688044,1756465778591259453,1756465778710203096,0,399.96,269.81,2048,1718,5,5,71,2532684,0.0,0.0,0.0,0,0.0
1756465778662688044,1756465778591259453,1756465778713110691,0,349.7,296.97,2034,754,6,3,120,103230,0.0,0.0,0.0,0,0.0
1756465778662688044,1756465778591259453,1756465778717753101,0,176.68,45.82,2610,1370,4,5,80,1812182,0.0,0.0,0.0,0,0.0
1756465778662688044,1756465778591259453,1756465778718035809,0,434.5,294.37,1529,1389,5,5,226,282708,0.0,0.0,0.0,0,0.0
1756465778662688044,1756465778591259453,1756465778719191742,0,586.95,466.0,794,208,4,1,280,642703,0.0,0.0,0.0,0,0.0
1756465778662688044,1756465778591259453,1756465778722002419,0,453.89,432.78,3053,2011,9,7,105,960540,0.0,0.0,0.0,0,0.0
1756465778662688044,1756465778591259453,1756465778724653442,0,163.0,85.13,240,1119,1,4,192,132524,0.0,0.0,0.0,0,0.0
1756465778662688044,1756465778591259453,1756465778725347929,0,587.62,338.0,467,211,2,1,86,230339,0.0,0.0,0.0,0,0.0
1756465778662688044,1756465778591259453,1756465778726091586,0,509.05,376.59,972,468,3,2,108,743657,0.0,0.0,0.0,0,0.0
1756465778662688044,1756465778591259453,1756465778727476159,0,334.11,477.91,1990,939,6,3,137,284444,0.0,0.0,0.0,0,0.0
1756465778662688044,1756465778591259453,1756465778727609167,0,581.94,386.66,2000,944,5,4,42,133008,0.0,0.0,0.0,0,0.0
1756465778662688044,1756465778591259453,1756465778729006463,0,124.83,342.03,1191,1005,3,3,49,287921,0.0,0.0,0.0,0,0.0
1756465778662688044,1756465778591259453,1756465778733058200,0,261.81,43.01,1131,1048,3,3,53,476030,0.0,0.0,0.0,0,0.0
1756465778662688044,1756465778591259453,1756465778734024337,0,349.95,80.51,2255,1692,5,6,92,155481,0.0,0.0,0.0,0,0.0
1756465778734116635,1756465778662688044,1756465778741320742,0,79.54,45.57,3739,2320,6,4,59,28827,0.0,0.0,0.0,0,0.0
1756465778734116635,1756465778662688044,1756465778743799603,0,55.49,86.54,431,491,2,2,97,763153,0.0,0.0,0.0,0,0.0
1756465778734116635,1756465778662688044,1756465778744802912,0,111.87,260.11,2069,1682,7,5,119,456737,0.0,0.0,0.0,0,0.0
1756465778734116635,1756465778662688044,1756465778748501323,0,285.86,601.97,2654,1762,5,3,98,79048,0.0,0.0,0.0,0,0.0
1756465778734116635,1756465778662688044,1756465778754365719,0,136.0,275.5,213,385,1,2,87,378534,0.0,0.0,0.0,0,0.0
1756465778734116635,1756465778662688044,1756465778755022905,0,572.91,630.55,804,528,3,2,15,657186,0.0,0.0,0.0,0,0.0
1756465778734116635,1756465778662688044,1756465778755241216,0,45.43,45.09,1613,945,4,3,243,218311,0.0,0.0,0.0,0,0.0
1756465778734116635,1756465778662688044,1756465778757002987,0,424.57,31.52,520,423,2,2,115,1761771,0.0,0.0,0.0,0,0.0
1756465778734116635,1756465778662688044,1756465778769656508,0,346.46,177.0,479,208,2,1,29,2814334,0.0,0.0,0.0,0,0.0
1756465778734116635,1756465778662688044,1756465778769881883,0,324.45,575.93,696,723,2,3,11,225375,0.0,0.0,0.0,0,0.0
1756465778734116635,1756465778662688044,1756465778770240654,0,526.0,86.52,214,401,1,2,38,358771,0.0,0.0,0.0,0,0.0
1756465778734116635,1756465778662688044,1756465778770302111,0,252.21,242.99,2714,1096,8,3,63,61457,0.0,0.0,0.0,0,0.0
1756465778734116635,1756465778662688044,1756465778771373208,0,21.32,629.9,1166,769,4,3,27,178629,0.0,0.0,0.0,0,0.0
1756465778734116635,1756465778662688044,1756465778773606943,0,375.12,344.39,1353,1356,5,4,21,2233735,0.0,0.0,0.0,0,0.0
1756465778734116635,1756465778662688044,1756465778783272792,0,33.93,599.94,1967,799,7,3,52,112320,0.0,0.0,0.0,0,0.0
